Local Government Name:,Website URL:,Mailing Address:,Alternate Address:,Mailing City:,Mailing State:,Mailing Zip:,LGID:,Local Government Type:,County:
Washington 25 Metropolitan District No. 3,washington25md.specialdistrict.org/,"450 East 17th Avenue, Suite 400",c/o McGeady Becher Cortese Williams P.C.,Denver,CO,80203-1254,66927,Metropolitan Districts,Adams
Washington 25 Metropolitan District No. 4,washington25md.specialdistrict.org/,"450 East 17th Avenue, Suite 400",c/o McGeady Becher Cortese Williams P.C.,Denver,CO,80203-1254,66928,Metropolitan Districts,Adams
Washington County,washingtoncounty.colorado.gov,150 Ash Avenue,,Akron,CO,80720-1510,61008,Counties,Washington
Washington County Conservation District,,PO Box U,,Akron,CO,80720,61014,Conservation Districts (Soil),Washington
Washington County Housing Authority,,465 Main Avenue,c/o Washington County Nursing Home,Akron,CO,80720,61015,County Housing Authorities,Washington
Washington County Pest Control District,,150 Ash Street,,Akron,CO,80720,61012,County Pest Control Districts,Washington
Washington-Yuma Counties Combined Communications Center and 911 Authority,wycomm.org,PO Box 96,,Yuma,CO,80759,67458,Intergovernmental Authorities (separate legal entity),"Washington, Yuma"
Water Enhancement Authority,,PO Box 179,c/o Brooks & Brooks,Montrose,CO,81402,64202,Intergovernmental Authorities (separate legal entity),"Montrose, Mesa, Gunnison, Delta"
Water Valley Metropolitan District No. 1,www.poudretechmetro.org,"2154 E. Commons Avenue, Ste 2000",c/o Whhite Bear Ankele Tanaka & Waldron,Centennial,CO,80122,62102,Metropolitan Districts,Weld
Water Valley Metropolitan District No. 2,www.poudretechmetro.org,"2154 E Commons Avenue, Ste 2000",c/o White Bear Ankele Tanaka & Waldron,Centennial,CO,80122,62103,Metropolitan Districts,Weld
Water Valley Metropolitan District No. 3,www.watervalleymd3.com/,PO Box 630588,c/o Fromm & Company LLC,Highlands Ranch,CO,80163,67738,Metropolitan Districts,Weld
Waterbury Metropolitan District No. 1,4-wayranchmetrodistricts.org,1254 E Commons Ave,"c/o WBA, PC",Centennial,CO,80122,65452,Metropolitan Districts,El Paso
Waterfall Metropolitan District No. 1,www.waterfallmd.live,550 W Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc",Loveland,CO,80537,66053,Metropolitan Districts,Larimer
Waterfront Metropolitan District,waterfrontmetrodistrict.com,2154 E. Commons Ave. Suite 2000,,Centennial,CO,80122,65230,Metropolitan Districts,Larimer
Waterfront at Foster Lake Metropolitan District No. 1,waterfrontatfosterlakemds.com,"1700 Lincoln Street, Ste 2000",c/o Spencer Fane LLP,Denver,CO,80203,65944,Metropolitan Districts,Weld
Waterfront at Foster Lake Metropolitan District No. 2,waterfrontatfosterlakemds.com,"1700 Lincoln Street, Ste 2000",c/o Spencer Fane LLP,Denver,CO,80203,65945,Metropolitan Districts,Weld
Waterfront at Foster Lake Metropolitan District No. 3,waterfrontatfosterlakemds.com,"1700 Lincoln Street, Ste 2000",c/o Spencer Fane LLP,Denver,CO,80203,65946,Metropolitan Districts,Weld
Waters' Edge Metropolitan District No. 1,www.watersedgemetrodistricts.org,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,67113,Metropolitan Districts,Larimer
Waters' Edge Metropolitan District No. 2,www.watersedgemetrodistricts.org,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,67114,Metropolitan Districts,Larimer
Waters' Edge Metropolitan District No. 3,www.watersedgemetrodistricts.org,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,67115,Metropolitan Districts,Larimer
Waters' Edge Metropolitan District No. 4,www.watersedgemetrodistricts.org,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,67116,Metropolitan Districts,Larimer
Waters' Edge Metropolitan District No. 5,www.watersedgemetrodistricts.org,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,67117,Metropolitan Districts,Larimer
Waterstone Metropolitan District No. 1,www.waterstonemetrodistrict1.org/,"2154 E. Commons Ave, Suite 2000","c/o WBA, PC",Centennial,CO,80122,65733,Metropolitan Districts,Arapahoe
Waterstone Metropolitan District No. 2,wmd2.specialdistrict.org/,"2154 E. Commons Ave, Suite 2000","c/o WBA, PC",Centennial,CO,80122,65734,Metropolitan Districts,Arapahoe
Waterview I Metropolitan District,www.waterview1md.org/,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,65497,Metropolitan Districts,El Paso
Waterview II Metropolitan District,waterviewiimetro.nabrnetwork.com,"2154 E Commons Avenue, Ste 2000",,Centennial,CO,80122,66068,Metropolitan Districts,El Paso
Waterview North Metropolitan District No. 1,wsdistricts.co/waterview-north-metropolitan-district-nos-1-2/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,68030,Metropolitan Districts,El Paso
Waterview North Metropolitan District No. 2,wsdistricts.co/waterview-north-metropolitan-district-nos-1-2/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,68031,Metropolitan Districts,El Paso
Watkins Road Holdings Metropolitan District No. 1,camberfarmmetrodistricts.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67021,Metropolitan Districts,Arapahoe
Watkins Road Holdings Metropolitan District No. 10,camberfarmmetrodistricts.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67030,Metropolitan Districts,Arapahoe
Watkins Road Holdings Metropolitan District No. 11,camberfarmmetrodistricts.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67031,Metropolitan Districts,Arapahoe
Watkins Road Holdings Metropolitan District No. 12,camberfarmmetrodistricts.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67032,Metropolitan Districts,Arapahoe
Watkins Road Holdings Metropolitan District No. 13,camberfarmmetrodistricts.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67033,Metropolitan Districts,Arapahoe
Watkins Road Holdings Metropolitan District No. 14,camberfarmmetrodistricts.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67034,Metropolitan Districts,Arapahoe
Watkins Road Holdings Metropolitan District No. 15,camberfarmmetrodistricts.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67035,Metropolitan Districts,Arapahoe
Watkins Road Holdings Metropolitan District No. 16,camberfarmmetrodistricts.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67036,Metropolitan Districts,Arapahoe
Watkins Road Holdings Metropolitan District No. 17,camberfarmmetrodistricts.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67037,Metropolitan Districts,Arapahoe
Watkins Road Holdings Metropolitan District No. 18,camberfarmmetrodistricts.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67038,Metropolitan Districts,Arapahoe
Watkins Road Holdings Metropolitan District No. 19,camberfarmmetrodistricts.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67039,Metropolitan Districts,Arapahoe
Watkins Road Holdings Metropolitan District No. 2,camberfarmmetrodistricts.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67022,Metropolitan Districts,Arapahoe
Watkins Road Holdings Metropolitan District No. 20,camberfarmmetrodistricts.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67040,Metropolitan Districts,Arapahoe
Watkins Road Holdings Metropolitan District No. 3,camberfarmmetrodistricts.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67023,Metropolitan Districts,Arapahoe
Watkins Road Holdings Metropolitan District No. 4,camberfarmmetrodistricts.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67024,Metropolitan Districts,Arapahoe
Watkins Road Holdings Metropolitan District No. 5,camberfarmmetrodistricts.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67025,Metropolitan Districts,Arapahoe
Watkins Road Holdings Metropolitan District No. 6,camberfarmmetrodistricts.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67026,Metropolitan Districts,Arapahoe
Watkins Road Holdings Metropolitan District No. 7,camberfarmmetrodistricts.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67027,Metropolitan Districts,Arapahoe
Watkins Road Holdings Metropolitan District No. 8,camberfarmmetrodistricts.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67028,Metropolitan Districts,Arapahoe
Watkins Road Holdings Metropolitan District No. 9,camberfarmmetrodistricts.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67029,Metropolitan Districts,Arapahoe
Waverly Drainage District,,287 West Archer,,Pueblo West,CO,81007,02008,Drainage Districts,Alamosa
Weems Neighborhood Metropolitan District,weemsneighborhoodmetrodistrict.org/,"2154 E Commons Avenue, Ste 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,66761,Metropolitan Districts,Boulder
Weld Adams Water Development Authority,cospecialdistricts.com/weld-adams-water-development-authority,"1151 Eagle Drive, Suite 366","c/o Law Office of Michael E. Davis, LLC",Loveland,CO,80537,66789,Water Authorities,"Weld, Adams"
Weld County,www.weld.gov,1150 O Street,,Greeley,CO,80631,62056,Counties,Weld
Weld County 911 Emergency Telephone Service Authority,,1150 O St,,Greeley,CO,80631,62084,Emergency Telephone Service (911 Authorities),Weld
Weld County Chambers Tracts Subdivision Water and Sewer Local Improvement District No. 2003-1,www.co.weld.co.us,PO Box 758,c/o Weld Cty. Bd. of Cty. Commissioners,Greeley,CO,80632,65162,Local Improvement Districts (County),Weld
Weld County Federal Mineral Lease Act District,,1150 O St,,Greeley,CO,80631,66327,Federal Mineral Lease Districts,Weld
Weld County Housing Authority,,P.O. Box 130,903 6th Street,Greeley,CO,80631,62072,County Housing Authorities,Weld
Weld County Pioneer Community Law Enforcement Authority,,1150 O St,,Greeley,CO,80631,65721,Law Enforcement Authorities,Weld
Weld County RE-8 School District,www.weld8.org,301 Reynolds Street,,Fort Lupton,CO,80621,62912,School Districts,"Broomfield, Weld"
Weldon Valley RE-20(J) School District,www.weldonvalley.org/,911 North Avenue,,Weldona,CO,80653,64939,School Districts,"Weld, Morgan"
Well Augmentation Subdistrict of Central Colorado Water Conservancy District,,3209 West 28th Street,,Greeley,CO,80634,65372,Water Conservancy Districts,"Weld, Adams, Morgan"
Wellington Fire Protection District,www.wfpd.org,PO Box 10,8130 3rd Street,Wellington,CO,80549,35046,Fire Protection Districts,Larimer
Wellington Housing Authority,,1715 West Mountain Avenue,,Fort Collins,CO,80521,35054,Housing Authorities (Municipal),Larimer
"Wellington, Town of",www.wellingtoncolorado.gov/,PO Box 127,,Wellington,CO,80549,35047,Statutory Towns,Larimer
Welty Ridge Metropolitan District No. 1,cospecialdistricts.com/high-plains-metropolitan-district-nos-1-3-4,"1151 Eagle Drive, Suite 366","c/o Law Office of Michael E. Davis, LLC",Loveland,CO,80537,66031,Metropolitan Districts,Weld
Welty Ridge Metropolitan District No. 2,cospecialdistricts.com/high-plains-metropolitan-district-nos-1-3-4,"1151 Eagle Drive, Suite 366","c/o Law Office of Michael E. Davis, LLC",Loveland,CO,80537,66032,Metropolitan Districts,Weld
West Arapahoe Conservation District,westarapahoeconservationdistrict.wordpress.com,133 W. Bijou Avenue,,Byers,CO,80103,03080,Conservation Districts (Soil),Arapahoe
West Boyd Metropolitan District No. 1,www.westboydmd.live,550 West Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc",Loveland,CO,80537,67229,Metropolitan Districts,Larimer
West Boyd Metropolitan District No. 2,www.westboydmd.live,550 West Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc",Loveland,CO,80537,67230,Metropolitan Districts,Larimer
West Boyd Metropolitan District No. 3,www.westboydmd.live,550 West Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc",Loveland,CO,80537,67231,Metropolitan Districts,Larimer
West Cheyenne Fire Protection District,,PO Box 324,,Kit Carson,CO,80825,09014,Fire Protection Districts,Cheyenne
West Colfax Business Improvement District,,4500 West Colfax Avenue,,Denver,CO,80204,65763,Business Improvement Districts,Denver
West Custer County Hospital District,westcustercountyhospitaldistrict.com/,704 Edwards Avenue,,Westcliffe,CO,81252,14008,Health Service Districts (Hospital),"Custer, Fremont"
West Custer County Library District,www.westcusterlibrary.org/,PO Box 689,,Westcliffe,CO,81252,14009,Library Districts,Custer
West Divide Water Conservancy District,,PO Box 1478,109 West Fourth Street,Rifle,CO,81650-1478,64151,Water Conservancy Districts,"Mesa, Garfield, Pitkin"
West Dolores County Cemetery District,,PO Box 363,,Dove Creek,CO,81324,17008,Cemetery Districts,Dolores
West Douglas County Fire Protection District,www.westdouglasfire.org,44 Cook Street,"c/o Cockrel Ela Glesne Greher & Ruhland, P.C.",Denver,CO,80206,18034,Fire Protection Districts,Douglas
West End RE-2 School District,sites.google.com/weps.k12.co.us/west-end-public-schools/home,PO Box 190,,Naturita,CO,81422-0190,43901,School Districts,Montrose
West Fort Collins Water District,,PO Box 426,,LaPorte,CO,80535,35048,Water Districts,Larimer
West Glenwood Springs Sanitation District,,51 Riverine Rd,,Glenwood Springs,CO,81601,23023,Sanitation Districts,Garfield
West Globeville Metropolitan District No. 1,,"44 Cook Street, Suite 620",,Denver,CO,80206,66660,Metropolitan Districts,Denver
West Globeville Metropolitan District No. 1 Special Improvement District No. 1,,"44 Cook Street, Suite 620","c/o Cockrel Ela Glesne Greher & Ruhland, P.C.",Denver,CO,80206,68055,Special Improvement Districts (Title 32 Special District),Denver
West Globeville Metropolitan District No. 2,,"44 Cook Street, Suite 620",,Denver,CO,80206,66661,Metropolitan Districts,Denver
West Grand 1-JT. School District,www.wgsd.us,PO Box 515,,Kremmling,CO,80459-0515,64926,School Districts,"Grand, Eagle, Summit"
West Greeley Conservation District,,4302 West 9th Street Road,,Greeley,CO,80634,62058,Conservation Districts (Soil),Weld
West Jefferson County Metropolitan District,westjeffcometro.org,30920 Stagecoach Boulevard,,Evergreen,CO,80439,67111,Metropolitan Districts,Jefferson
West Junction Metropolitan District,www.westjunctionmd.org,"3900 E Mexico Ave, Suite 300",c/o LawBank CoBo,Denver,CO,80210,67434,Metropolitan Districts,Mesa
West Kiowa County Cemetery District,,PO Box 2,,Haswell,CO,81045,31011,Cemetery Districts,Kiowa
West Kiowa Recreation District,,PO Box 31,,Haswell,CO,81045,31012,County Recreation Districts,Kiowa
West Lot Metropolitan District No. 1,westlotmetropolitandistricts.specialdistrict.org/,"450 East 17th Avenue, Suite 400",c/o McGeady Becher Cortese Williams P.C.,Denver,CO,80203-1254,67093,Metropolitan Districts,Denver
West Lot Metropolitan District No. 2,westlotmetropolitandistricts.specialdistrict.org/,"450 East 17th Avenue, Suite 400",c/o McGeady Becher Cortese Williams P.C.,Denver,CO,80203-1254,67094,Metropolitan Districts,Denver
West Meadow Metropolitan District,westmeadowmd.com/,"1700 Lincoln Street, Ste. 2000",c/o Spencer Fane LLP,Denver,CO,80203,65421,Metropolitan Districts,Grand
West Meadows Metropolitan District,westmeadowsdistrict.com,"2154 E Commons Avenue, Ste 2000","c/o White Bear Ankele Tanaka & Waldron, PC",Centennial,CO,80122,30111,Metropolitan Districts,Jefferson
West Metro Fire Protection District,www.westmetrofire.org,433 S. Allison Parkway,,Lakewood,CO,80226,64243,Fire Protection Districts,"Douglas, Jefferson"
West Montrose Sanitation District,wmsd.specialdistrict.org,239 Chipeta Road,,Montrose,CO,81403,43016,Sanitation Districts,Montrose
West Mountain Metropolitan District,www.westmountainmd.com,"1700 Lincoln Street, Ste. 2000",c/o Spencer Fane LLP,Denver,CO,80203,65422,Metropolitan Districts,Grand
West Mountain Metropolitan District No. 2,www.westmountainmd.com/,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,68006,Metropolitan Districts,Grand
West Mountain Metropolitan District No. 3,www.westmountainmd.com/,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,68007,Metropolitan Districts,Grand
West Mountain Metropolitan District No. 4,www.westmountainmd.com/,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,68008,Metropolitan Districts,Grand
West Mountain Metropolitan District No. 5,www.westmountainmd.com/,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,68009,Metropolitan Districts,Grand
West Otero-Timpas Conservation District,,200 S 10th St,,Rocky Ford,CO,81067,64257,Conservation Districts (Soil),"Otero, Crowley, Pueblo"
West Park Fire Protection District,,3926 Goodnight Avenue,,Pueblo,CO,81005,51021,Fire Protection Districts,Pueblo
West Phillips County Cemetery District,,PO Box 66,,Haxtun,CO,80731,48009,Cemetery Districts,Phillips
West Point Metropolitan District,,"44 Cook Street, Suite 620",,Denver,CO,80206,30143,Metropolitan Districts,Jefferson
